
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  30420 Services                   0     11,040 K
java.exe                     35632 RDP-Tcp#0                  3  15,07,344 K
java.exe                     14340 RDP-Tcp#0                  3   2,44,936 K
conhost.exe                  23300 RDP-Tcp#0                  3      7,932 K
Code.exe                      8424 RDP-Tcp#0                  3   1,54,808 K
conhost.exe                  25684 RDP-Tcp#0                  3      9,416 K
powershell.exe               15588 RDP-Tcp#0                  3     98,912 K
java.exe                      9720 RDP-Tcp#1                  2  16,35,916 K
svchost.exe                  24636 Services                   0     17,296 K
dllhost.exe                  26032 Services                   0     17,412 K
WmiPrvSE.exe                 37232 Services                   0     13,460 K
OpenConsole.exe              15864 RDP-Tcp#0                  3     12,644 K
powershell.exe               10200 RDP-Tcp#0                  3     85,756 K
WUDFHost.exe                 37044 Services                   0     84,152 K
ctfmon.exe                    8988 RDP-Tcp#1                  2     31,008 K
ctfmon.exe                   16896 RDP-Tcp#0                  3     26,280 K
WUDFHost.exe                 16932 Services                   0     58,856 K
Code.exe                      6388 RDP-Tcp#1                  2   2,08,320 K
Code.exe                     30996 RDP-Tcp#1                  2     32,416 K
Code.exe                     35964 RDP-Tcp#1                  2   2,53,540 K
Code.exe                     37776 RDP-Tcp#1                  2     54,944 K
Code.exe                     27576 RDP-Tcp#1                  2   4,46,380 K
Code.exe                     36164 RDP-Tcp#1                  2   1,17,584 K
Code.exe                     32440 RDP-Tcp#1                  2   1,54,968 K
chrome.exe                   16476 RDP-Tcp#0                  3     62,784 K
chrome.exe                   15808 RDP-Tcp#0                  3     63,840 K
adb.exe                      17256 RDP-Tcp#0                  3     17,200 K
Code.exe                     35352 RDP-Tcp#1                  2   1,42,620 K
Code.exe                     35468 RDP-Tcp#1                  2   5,78,544 K
Code.exe                     32824 RDP-Tcp#1                  2   1,23,652 K
chrome.exe                   37340 RDP-Tcp#1                  2   2,64,188 K
Code.exe                     33788 RDP-Tcp#1                  2   1,71,340 K
Code.exe                     21692 RDP-Tcp#1                  2   2,12,468 K
Code.exe                       508 RDP-Tcp#1                  2   1,45,820 K
Code.exe                      5500 RDP-Tcp#1                  2   1,21,656 K
chrome.exe                    3280 RDP-Tcp#0                  3     31,720 K
emulator.exe                 11628 RDP-Tcp#0                  3     11,900 K
crashpad_handler.exe         29692 RDP-Tcp#0                  3      8,124 K
conhost.exe                  17872 RDP-Tcp#0                  3     10,772 K
OpenConsole.exe              26636 RDP-Tcp#0                  3     15,016 K
WindowsTerminal.exe          35984 RDP-Tcp#0                  3   1,55,148 K
qemu-system-x86_64.exe       13684 RDP-Tcp#0                  3  45,84,800 K
conhost.exe                  33644 RDP-Tcp#0                  3     10,756 K
OpenConsole.exe              17156 RDP-Tcp#0                  3     15,136 K
crashpad_handler.exe         36816 RDP-Tcp#0                  3      8,132 K
netsimd.exe                  32972 RDP-Tcp#0                  3     25,376 K
Code.exe                     15616 RDP-Tcp#1                  2   1,22,868 K
adb.exe                      26492 RDP-Tcp#0                  3     11,976 K
adb.exe                      36052 RDP-Tcp#0                  3     11,976 K
adb.exe                      37224 RDP-Tcp#0                  3     11,968 K
adb.exe                      18728 RDP-Tcp#0                  3     11,976 K
adb.exe                      34312 RDP-Tcp#0                  3     11,976 K
adb.exe                      31772 RDP-Tcp#0                  3     11,968 K
conhost.exe                  30780 RDP-Tcp#0                  3      8,772 K
powershell.exe               25712 RDP-Tcp#0                  3     96,276 K
